ID,Artists,Streams
150,"Jay Rock, Kendrick Lamar",411018135
151,"Myke Towers, Sebastian Yatra",408392662
152,"Kacey Musgraves, Zach Bryan",408285069
153,"Kygo, Whitney Houston",407652069
154,"Juice WRLD, YoungBoy Never Broke Again",403657974
155,"David Guetta, Justin Bieber",401880746
156,"Oliver Tree, Robin Schulz",399861973
157,"Jack Harlow, Jung Kook",394099979
158,"Lauv, Troye Sivan",391482559
159,"Ed Sheeran, Eminem",390955871
160,"NATTI NATASHA, Ozuna",390843975
161,"Justin Bieber, benny blanco",386908246
162,"Kina, Snøw",384882550
163,"Carin Leon, Maluma",379504358
164,"Dermot Kennedy, MEDUZA",379486906
165,"Ryan Riback, Starley",378596557
166,"Darell, Sech",375834575
167,"6ix9ine, A Boogie Wit da Hoodie",375341879
168,"BTS, Halsey",375022529
169,"Aitana, zzoilo",374961417
170,"Lil Uzi Vert, Migos",373507156
171,"Ozuna, Wisin",371196793
172,"Ariana Grande, Nicki Minaj",369649427
173,"6ix9ine, Anuel AA",365921676
174,"KYLE, Lil Yachty",365725976
175,"DJ Snake, Justin Bieber",359841366
176,"Fuerza Regida, Grupo Frontera",358112601
177,"HVME, Travis Scott",357822888
178,"Aloe Blacc, Avicii",357373179
179,"Grupo Firme, Grupo Frontera",353505748
180,"Bad Bunny, Tony Dize",344412193
181,"Lil Tjay, Pop Smoke",344297250
182,"KAROL G, Tiësto",342883788
183,"Kendrick Lamar, Zacari",335855240
184,"Beyoncé, Ed Sheeran",335158647
185,"Avicii, Rita Ora",334425361
186,"Avicii, Sandro Cavazza",333726650
187,"Macklemore, Skylar Grey",333181824
188,"Kanye West, Lil Pump",333062937
189,"Post Malone, The Weeknd",332886093
190,"BloodPop®, Justin Bieber",329306934
191,"Dua Lipa, Miley Cyrus",328127493
192,"Maroon 5, Wiz Khalifa",328112360
193,"Anuel AA, Rauw Alejandro",325495296
194,"Fuerza Regida, Marshmello",323485593
195,"Manuel Turizo, Marshmello",323263901
196,"Farruko, Rauw Alejandro",322346777
197,"Camilo, Rauw Alejandro",320260640
198,"Cheat Codes, Demi Lovato",320021915
199,"Bazzi, Camila Cabello",318997516
200,"Feid, Mora",316445866
201,"Playboi Carti, Travis Scott",315038680
202,"Bad Bunny, Eladio Carrion",314143982
203,"6LACK, Lil Tjay",313493341
204,"Manuel Turizo, Piso 21",313209277
205,"Junior H, Oscar Maydon",312937894
206,"Drake, Yeat",311509456
207,"blackbear, mgk",309284143
208,"Camila Cabello, DaBaby",304603848
209,"Maroon 5, Megan Thee Stallion",301506952
210,"Bizarrap, Peso Pluma",300763502
211,"Maria Becerra, TINI",297504390
212,"Maluma, Nego do Borel",296847428
213,"Swedish House Mafia, The Weeknd",295006243
214,"Milo j, Taiu",293767640
215,"Chris Brown, Lil Dicky",293217637
216,"Justin Quiles, The Academy: Segunda Misión",292141776
217,"A$AP Rocky, Skepta",291859638
218,"Martin Garrix, Troye Sivan",290601751
219,"David Guetta, Sia",290393589
220,"Nicky Jam, Ozuna",288089804
221,"G-Eazy, Halsey",287812135
222,"Anuel AA, Romeo Santos",286526851
223,"Chris Brown, Young Thug",284236722
224,"Lil Peep, XXXTENTACION",283639482
225,"Ozuna, Shakira",283481699
226,"Drake, Migos",282950111
227,"Calvin Harris, Rag'n'Bone Man",282213371
228,"Bad Bunny, Becky G",280960035
229,"Clean Bandit, Julia Michaels",280466909
230,"Anitta, J Balvin",280150549
231,"ATL Jacob, Feid",275763427
232,"Halsey, Marshmello",275592897
233,"J Balvin, Jowell & Randy",275323379
234,"Justin Bieber, Shawn Mendes",274615654
235,"CHVRCHES, Marshmello",274105542
236,"Dina Rae, Eminem",268941873
237,"Jax Jones, RAYE",266744207
238,"James Hype, Miggy Dela Rosa",266589180
239,"Bad Bunny, Ñengo Flow",265960813
240,"Kendrick Lamar, Maroon 5",262903680
241,"Camilo, Pedro Capó",261346436
242,"Kendrick Lamar, The Weeknd",260941925
243,"Grupo Frontera, Yahritza Y Su Esencia",260749860
244,"Rauw Alejandro, Selena Gomez",259740100
245,"Justin Jesso, Kygo",258532843
246,"Eminem, Nate Dogg",256797642
247,"Katy Perry, Skip Marley",255089003
248,"21 Savage, Metro Boomin",255055435
249,"Bad Bunny, Sech",253034613
250,"AgroPlay, Ana Castela",252796579
251,"Calvin Harris, Ellie Goulding",249610705
252,"Migos, Mustard",247739039
253,"David Bowie, Queen",245932655
254,"Christian Nodal, Gera MX",245610870
255,"Ozuna, ROSALÍA",244730365
256,"Doja Cat, Saweetie",244269655
257,"Daya, The Chainsmokers",243636748
258,"Grupo Frontera, Peso Pluma",240893699
259,"Eminem, Joyner Lucas",236723773
260,"Khalid, Martin Garrix",236309833
261,"Ellie Goulding, Juice WRLD",235216523
262,"Bebe Rexha, Martin Garrix",235182404
263,"KAROL G, Mariah Angeliq",233123126
264,"Jonas Brothers, Marshmello",232932271
265,"Becky G, Paulo Londra",231853720
266,"Future, Maroon 5",231136248
267,"Charlie Puth, Selena Gomez",231108317
268,"Mark Ronson, Miley Cyrus",230660801
269,"Guaynaa, Lele Pons",230158907
270,"Anuel AA, Bad Bunny",229568239
271,"Kirsty MacColl, The Pogues",228818486
272,"Ariana Grande, Social House",227960793
273,"Gunna, Young Thug",227806011
274,"Drake, J. Cole",226198035
275,"Kelsea Ballerini, The Chainsmokers",225497957
276,"BLACKPINK, Selena Gomez",224733840
277,"Black Eyed Peas, Shakira",223643750
278,"Fuerza Regida, Natanael Cano",223635908
279,"Anitta, Peso Pluma",221455687
280,"Guaynaa, Sebastian Yatra",221368845
281,"5 Seconds of Summer, The Chainsmokers",221286400
282,"Anuel AA, Haze",221217583
283,"J Balvin, Skrillex",220947687
284,"Ariana Grande, Lizzo",217069406
285,"Kygo, Miguel",216618108
286,"Drake, Michael Jackson",215855111
287,"Lil Tjay, Polo G",215823098
288,"KAROL G, Romeo Santos",215776032
289,"BLACKPINK, Dua Lipa",214921277
290,"Tate McRae, Tiësto",214757052
291,"Imagine Dragons, Kygo",214433458
292,"ROSALÍA, Travis Scott",213376784
293,"Louis Tomlinson, Steve Aoki",213332425
294,"Beyoncé, Megan Thee Stallion",213251990
295,"Ellie Goulding, Kygo",212723886
296,"Bebe Rexha, The Chainsmokers",212087919
297,"KAROL G, Ovy On The Drums",210671196
298,"Micro TDH, Piso 21",209890194
299,"Boney M., Majestic",207238320
300,"ROSALÍA, Wisin & Yandel",206875326
301,"SHAED, ZAYN",206688452
302,"Baby Keem, Kendrick Lamar",203600281
303,"Dwele, Kanye West",202966612
304,"Mr. Naisgai, Rauw Alejandro",202803260
305,"Anuel AA, Daddy Yankee",202658149
306,"J Balvin, Tainy",201966468
307,"Carlos Vives, Sebastian Yatra",201832946
308,"Camilo, Ozuna",201691098
309,"CNCO, Yandel",201461259
310,"Dua Lipa, Sean Paul",199970201
311,"Don Omar, Lucenzo",199938670
312,"Kygo, OneRepublic",199239110
313,"Daddy Yankee, Ozuna",199222986
314,"Flow La Movie, Nio Garcia",198837542
315,"Bad Bunny, Buscabulla",198359825
316,"Matoma, The Vamps",198069229
317,"Anuel AA, Jhayco",196956035
318,"Keala Settle, The Greatest Showman Ensemble",195715437
319,"Lana Del Rey, Taylor Swift",195711243
320,"Maluma, Piso 21",195487973
321,"Camila Cabello, mgk",194243479
322,"Alex Sensation, Ozuna",193835148
323,"Zac Efron, Zendaya",192824494
324,"A$AP Rocky, Famous Dex",191727347
325,"Gucci Mane, Rae Sremmurd",191159626
326,"Aya Nakamura, Maluma",191138214
327,"Kendrick Lamar, Rihanna",190047623
328,"A Boogie Wit da Hoodie, Pop Smoke",188630133
329,"Drake, French Montana",188011040
330,"Chris Stapleton, Justin Timberlake",185134955
331,"J. Cole, Lil Durk",184952632
332,"Kane Brown, Marshmello",184788700
333,"Maiara & Maraisa, Marília Mendonça",182298845
334,"Anne-Marie, Lauv",182068515
335,"Baby Rasta, Rauw Alejandro",181762348
336,"RANI, Sam Feldt",180642863
337,"Bizarrap, Rauw Alejandro",179188588
338,"DENNIS, MC Kevin o Chris",177960206
339,"Kodak Black, XXXTENTACION",177159883
340,"Ozuna, Romeo Santos",176949791
341,"Ana Castela, Israel & Rodolffo",173811718
342,"Dua Lipa, Megan Thee Stallion",172096336
343,"Luis Fonsi, Ozuna",171979092
344,"KAROL G, Maldy",171667433
345,"Jon Bellion, Stormzy",171568548
346,"220 KID, Nathan Evans",171450449
347,"Bizarrap, Tiago PZK",170468423
348,"A Boogie Wit da Hoodie, Kodak Black",170323176
349,"KYLE, Kehlani",169420702
350,"LIT killah, Tiago PZK",168458417
351,"9lokknine, YNW Melly",168399483
352,"Anuel AA, Nicky Jam",168292955
353,"Mike Posner, Seeb",168172791
354,"Joey Montana, Sebastian Yatra",167765768
355,"Burak Yeter, Danelle Sandoval",166292891
356,"French Montana, Jason Derulo",166099722
357,"Mau y Ricky, Sebastian Yatra",165724104
358,"Ed Sheeran, Elton John",165186441
359,"Bizarrap, Milo j",164908281
360,"NLE Choppa, Roddy Ricch",164263881
361,"James Blunt, Robin Schulz",161722723
362,"Elley Duhé, Zedd",161673954
363,"J Balvin, Sean Paul",160205873
364,"Ozuna, Sech",159466362
365,"ROSALÍA, The Weeknd",159275532
366,"Juice WRLD, The Weeknd",159074214
367,"Reik, Sebastian Yatra",158786160
368,"Pailita, Polimá Westcoast",158458554
369,"BYOR, Imanbek",157504067
370,"Drake, Giveon",157067849
371,"Maluma, Ricky Martin",156103508
372,"Bad Bunny, Cosculluela",156041501
373,"Juice WRLD, The Kid LAROI",155814358
374,"Nicki Minaj, Post Malone",154428197
375,"Liam Payne, Rita Ora",154395594
376,"Jasiel Nuñez, Peso Pluma",154378414
377,"21 Savage, Cardi B",153487501
378,"Kali Uchis, Peso Pluma",151338783
379,"Little Mix, Nicki Minaj",151277585
380,"Nicky Jam, Shakira",150957974
381,"Daddy Yankee, Nicky Jam",149955246
382,"Feid, Justin Quiles",149366820
383,"Bad Bunny, The Marías",148941334
384,"Maluma, Reik",148128615
385,"Landon Cube, Lil Skies",146616851
386,"Jhayco, Sech",146378193
387,"Bad Bunny, Enrique Iglesias",146227713
388,"Kygo, Sandro Cavazza",145797551
389,"Camilo, Evaluna Montaner",144797960
390,"Camilo, El Alfa",143582236
391,"Katy Perry, Nicki Minaj",142724957
392,"Logic, Marshmello",142691584
393,"Gucci Mane, Selena Gomez",142031573
394,"Cartel De Santa, La Kelly",142016895
395,"Labrinth, Zendaya",139278136
396,"Myke Towers, Quevedo",139255452
397,"Lil Uzi Vert, Oh Wonder",139089148
398,"Post Malone, Roddy Ricch",138848194
399,"Bellakath, Dani Flow",138777705
400,"Gustavo Mioto, Mari Fernandez",137744131
401,"Billie Eilish, Justin Bieber",136746503
402,"DRAM, Lil Yachty",136678352
403,"Alex Rose, Rafa Pabön",135776730
404,"Britney Spears, Elton John",135375171
405,"Jhayco, Mora",135206532
406,"Adriana Proenza, Kina",134533265
407,"Paulo Londra, Piso 21",134144734
408,"Playboi Carti, Trippie Redd",133872952
409,"P!nk, Willow Sage Hart",132526342
410,"J Balvin, Sech",131700546
411,"SZA, Travis Scott",131148577
412,"Gabito Ballesteros, Natanael Cano",131070357
413,"Bizarrap, Young Miko",130135543
414,"Farruko, Myke Towers",130043307
415,"G-Eazy, Kehlani",128745676
416,"Drake, Rihanna",128393810
417,"DaBaby, Post Malone",127662405
418,"Dr. Dre, Snoop Dogg",127492379
419,"Fifth Harmony, Ty Dolla $ign",127033115
420,"Clairo, Wallows",126804188
421,"Curtis Waters, Harm Franklin",125921899
422,"Maluma, The Weeknd",125857481
423,"Becky G, Peso Pluma",125852457
424,"Lagique, Ofenbach",125451999
425,"Tiago PZK, Trueno",123950882
426,"Bizarrap, Villano Antillano",123525427
427,"JP Cooper, Jonas Blue",123408019
428,"Future, Rihanna",123121561
429,"Bon Iver, Taylor Swift",122950207
430,"Gittobeatz, Jere Klein",122764938
431,"RAYE, Regard",122645844
432,"CNCO, Little Mix",121993437
433,"Brytiago, Darell",120562587
434,"Phoebe Ryan, The Chainsmokers",120558753
435,"Bad Bunny, Yandel",120230078
436,"Eminem, Logic",119989488
437,"6ix9ine, Tory Lanez",119680983
438,"Dalmata, Sebastian Yatra",119635665
439,"Eartha Kitt, Henri René and His Orchestra",119587674
440,"Myke Towers, Nicky Jam",118844500
441,"Anuel AA, Shakira",118679933
442,"Ina Wroldsen, Jax Jones",117899105
443,"Miguel, Travis Scott",117642137
444,"Rich Brian, bbno$",116397095
445,"J Balvin, Liam Payne",115586518
446,"Raj Shekhar, Vishal Mishra",115580112
447,"Nicky Jam, Wisin",114922075
448,"JNR CHOI, Sam Tompkins",114291711
449,"OneRepublic, Seeb",113542732
450,"Kanye West, YNW Melly",113541444
451,"KAROL G, Maluma",112683252
452,"Doja Cat, Gucci Mane",112619024
453,"Kygo, Rita Ora",112350215
454,"MØ, Snakehips",111735595
455,"BloodPop®, Hailee Steinfeld",109875183
456,"Bonn, Martin Garrix",109806282
457,"Los Dareyes De La Sierra, Xavi",109453555
458,"Future, Juice WRLD",109409478
459,"Capital Bra, Samra",109262773
460,"Alan Walker, Ava Max",108858748
461,"Jonas Blue, RAYE",108528853
462,"PARTYNEXTDOOR, ZAYN",107527761
463,"NATTI NATASHA, Thalia",106993167
464,"Eliza Rose, Interplanetary Criminal",106426241
465,"Gotye, Kimbra",105980349
466,"Romeo Santos, Wisin & Yandel",105327096
467,"BLACKPINK, Lady Gaga",104865459
468,"Anne-Marie, David Guetta",104744850
469,"A Touch Of Class, R3HAB",104395994
470,"Future, The Weeknd",103172163
471,"Jax Jones, MNEK",103010020
472,"George Henrique & Rodrigo, Marília Mendonça",102286371
473,"Ali Sethi, Shae Gill",102225241
474,"Kodak Black, Lil Wayne",101903182
475,"Kehlani, Ty Dolla $ign",101573739
476,"Kanye West, Pusha T",100912491
477,"Gunna, Lil Mosey",100710452
478,"LANY, Lauv",100198177
479,"Camila Cabello, Daddy Yankee",99942863
480,"Bad Bunny, Young Miko",99315062
481,"Maluma, Wolfine",98540698
482,"Drew Love, The Chainsmokers",97856504
483,"Gunna, Metro Boomin",97610238
484,"Ed Sheeran, Travis Scott",97470855
485,"PARTYNEXTDOOR, Rihanna",97145552
486,"Don Omar, Zion & Lennox",96447517
487,"Edgardo Nuñez, Oscar Ortiz",96431099
488,"Luis R Conriquez, Peso Pluma",96368321
489,"Drake, SZA",96292047
490,"Fifth Harmony, Gucci Mane",95749381
491,"Blessd, Peso Pluma",93567809
492,"Blake Shelton, Gwen Stefani",93069425
493,"Felix Jaehn, Nea",93068558
494,"Khalid, Shawn Mendes",93031179
495,"Colin Hay, Luude",92932229
496,"Yuridia, Ángela Aguilar",92870873
497,"DJ Snake, Lauv",92851548
498,"Justin Wellington, Small Jam",91665404
499,"Mc Pedrinho, PEDRO SAMPAIO",90833446
500,"DannyLux, Eslabon Armado",90066982
501,"Bad Bunny, Gorillaz",90041612
502,"Grupo Marca Registrada, Junior H",89997136
503,"Kesha, Macklemore",89764609
504,"Hugo & Guilherme, Marília Mendonça",88993755
505,"Lil Uzi Vert, Playboi Carti",88845524
506,"Alida, Robin Schulz",88666621
507,"KHEA, Lenny Santos",87190881
508,"DTG, S1mba",86815454
509,"Anuel AA, Zion",86807925
510,"Bad Bunny, Mora",86729186
511,"Carlos Vives, Shakira",86219346
512,"Nicki Minaj, Yo Gotti",86186200
513,"ZAYN, Zhavia",85313383
514,"DJ Ivis, Dj Guuga",85143085
515,"Doja Cat, Nicki Minaj",84802867
516,"Gente De Zona, Jesse & Joy",84802190
517,"Adam Levine, Gym Class Heroes",84670800
518,"Anne-Marie, James Arthur",84584652
519,"Feid, Sean Paul",84038020
520,"Lil Uzi Vert, NAV",83549697
521,"J Balvin, Ozuna",82990060
522,"Kendrick Lamar, Rich The Kid",82740668
523,"Katy Perry, Migos",82007175
524,"Ariana Grande, Kelly Clarkson",81871279
525,"Juice WRLD, Trippie Redd",81211924
526,"El Chachito, Junior H",81154174
527,"Jason Derulo, Nuka",81123322
528,"Israel & Rodolffo, Mari Fernandez",80746125
529,"Os Barões Da Pisadinha, Wesley Safadão",80631023
530,"Bizarrap, Nicky Jam",80154473
531,"Poo Bear, Skrillex",80090321
532,"Juice WRLD, Lil Uzi Vert",79812281
533,"Ella Eyre, Sigala",79780653
534,"Daniel Caesar, H.E.R.",79402592
535,"42 Dugg, Lil Baby",79082866
536,"Cardi B, Lil Nas X",78358328
537,"DJ Matt D, Mc Livinho",77542667
538,"Camilo, Pablo Alborán",77290747
539,"Bea Miller, NOTD",77193068
540,"Erika Sirola, Robin Schulz",76627763
541,"Travis Barker, WILLOW",76076455
542,"Cookin' On 3 Burners, Kungs",75824507
543,"Olivia O'Brien, gnash",75368928
544,"Peso Pluma, Tito Double P",75187814
545,"Daddy Yankee, Wisin & Yandel",74942507
546,"Master KG, Nomcebo Zikode",74653376
547,"Camila Cabello, Mark Ronson",74627141
548,"Bizarrap, NATHY PELUSO",74589472
549,"$NOT, Cochise",74431283
550,"KIDDO, Robin Schulz",74362582
551,"Halsey, Juice WRLD",74053798
552,"Beyoncé, Eminem",73812124
553,"Lil Baby, Young Thug",73505080
554,"John Williams, Mykola Dmytrovych Leontovych",73443364
555,"Liam Payne, Zedd",72564752
556,"Brett Eldredge, Meghan Trainor",72532392
557,"Juice WRLD, Polo G",71904416
558,"Bruno & Marrone, Diego & Victor Hugo",71704595
559,"Doja Cat, StarBoi3",71002182
560,"Jonas Blue, Theresa Rex",70178622
561,"Juice WRLD, YNW Melly",69338127
562,"Drake, JAY-Z",69199312
563,"Justin Bieber, Khalid",68888984
564,"John Mayer, Khalid",68592608
565,"Anuel AA, Ozuna",68215715
566,"Ed Sheeran, Taylor Swift",68196921
567,"Nicky Jam, Sech",67953092
568,"Avine Vinny, Matheus Fernandes",67823275
569,"Drake, Giggs",67665399
570,"Blueface, NLE Choppa",67467563
571,"Shawn Mendes, Tainy",66885158
572,"Labrinth, Noah Cyrus",66606732
573,"Juice WRLD, Lil Tecca",66357578
574,"Leslie Grace, Noriel",66167317
575,"Kendrick Lamar, Lil Wayne",66135887
576,"Disney, Olivia Rodrigo",66121218
577,"Lil Durk, Pooh Shiesty",66084521
578,"Dilsinho, Matheus Fernandes",65556679
579,"Kanye West, PARTYNEXTDOOR",65207500
580,"Travis Scott, Young Thug",64910681
581,"Kendrick Lamar, Sia",64800712
582,"The Chainsmokers, Winona Oak",64548637
583,"J. Cole, Lil Baby",64469181
584,"6ix9ine, Bobby Shmurda",63924244
585,"Ariana Grande, Doja Cat",63880577
586,"Kehlani, Zedd",63821520
587,"Dyo, NEIKED",63309733
588,"Demi Lovato, Sam Smith",62960452
589,"J Balvin, Maluma",62867391
590,"Ava Max, Kygo",62815586
591,"DJ Lucas Beat, Malu",62421023
592,"Mc Danny, Zé Felipe",62038799
593,"Ashnikko, Princess Nokia",61114919
594,"Julia Michaels, Lauv",59957843
595,"Maluma, Myke Towers",59469384
596,"Burna Boy, Jorja Smith",59458014
597,"Calvin Harris, Tom Grennan",59241499
598,"DJ Ivis, Tarcísio do Acordeon",58983917
599,"2 Chainz, Travis Scott",58909832
600,"L-Gante, TINI",58588462
601,"Mora, SAIKO",58476318
602,"Charlie Puth, Kehlani",58157150
603,"PSY, SUGA",57882567
604,"Anuel AA, Manuel Turizo",57868175
605,"Nicky Jam, Romeo Santos",57649659
606,"BTS, Lauv",57614710
607,"Alan Walker, Gavin James",57382302
608,"Bizarrap, Paulo Londra",57352830
609,"AnnenMayKantereit, Giant Rooks",56831770
610,"Eminem, Royce Da 5'9""",56508253
611,"Christian Nodal, Piso 21",55719775
612,"Dido, Eminem",55664123
613,"Emily Warren, The Chainsmokers",55331201
614,"Swae Lee, Wiz Khalifa",55299961
615,"AURORA, Idina Menzel",55217766
616,"6ix9ine, Lil Baby",55185548
617,"Tony Aguirre, Xavi",54514795
618,"Gucci Mane, blackbear",54438140
619,"Future, Travis Scott",54349532
620,"Cardi B, Lizzo",54106792
621,"BTS, Steve Aoki",54016052
622,"Charly Black, Daddy Yankee",53434935
623,"Jimin, TAEYANG",53057038
624,"Empress Of, Khalid",53040197
625,"Logic, OneRepublic",52941736
626,"Chefin, Mainstreet",52842792
627,"Alico, Migrantes",52625205
628,"Cardi B, Offset",52598193
629,"Bad Bunny, Don Omar",52586578
630,"Eden Muñoz, Junior H",52476603
631,"6ix9ine, DJ SpinKing",52397010
632,"99 Percent, Flo Rida",52265128
633,"Camila Cabello, Quavo",52171584
634,"G-Eazy, Marc E. Bassy",51885319
635,"Anne-Marie, Niall Horan",51870855
636,"Mabel Matiz, Mert Demir",51695388
637,"Arcángel, Bizarrap",51495983
638,"Kanye West, XXXTENTACION",51482863
639,"Bizarrap, L-Gante",51320301
640,"Big Sean, Post Malone",50954446
641,"Ana Castela, Luan Santana",50817926
642,"Angèle, Dua Lipa",50790738
643,"Fousheé, Sleepy Hallow",50711031
644,"Becky G, El Alfa",50675911
645,"Bonez MC, RAF Camora",50497518
646,"Future, Young Thug",50484070
647,"6ix9ine, Nicki Minaj",50175690
648,"BLANCO, Mahmood",50122024
649,"Katy Perry, Zedd",49935917
650,"Drake, PARTYNEXTDOOR",49572304
651,"Agust D, IU",48986420
652,"Cheat Codes, Little Mix",48978682
653,"Wisin, Yandel",48881785
654,"Robin Schulz, Wes",48165281
655,"Ariana Grande, Liz Gillies",48146811
656,"Bad Bunny, KAROL G",47992156
657,"Emily Warren, FRENSHIP",47959157
658,"Diane Guerrero, Stephanie Beatriz",47777416
