ID,Artists,Streams
177,"Fivio Foreign, Lil Tjay, Polo G",68517244
178,"21 Savage, J. Cole, Morray",68404912
179,"Lil Baby, ROSALÍA, Travis Scott",68063722
180,"DJ Léo da 17, Niack, Two Maloka",67382400
181,"Encanto - Cast, Olga Merediz, Stephanie Beatriz",66374561
182,"Lil Baby, Meek Mill, Post Malone",65951429
183,"Dayvi, Kelly Ruíz, Victor Cardenas",65783870
184,"Fast & Furious: The Fast Saga, Oliver Tree, TWISTED",63900813
185,"Demi Lovato, Jax Jones, Stefflon Don",61441050
186,"Megan Thee Stallion, Nicki Minaj, Ty Dolla $ign",60349059
187,"Central Cee, Jung Kook, The Kid LAROI",60155359
188,"Anuel AA, Daddy Yankee, Kendo Kaponi",60061228
189,"Amitabh Bhattacharya, Arijit Singh, Sachin-Jigar",59980104
190,"Asees Kaur, Jubin Nautiyal, Tanishk Bagchi",59499428
191,"G-Eazy, Post Malone, YG",58778680
192,"Chris Jedi, Gaby Music, Lunay",56988833
193,"De La Ghetto, Duki, Quevedo",56868771
194,"Brendon Urie, Juice WRLD, benny blanco",56518706
195,"Fetty Wap, Mark Morrison, Nevada",56500936
196,"M.I.A., Travis Scott, Young Thug",55182857
197,"Hugh Jackman, Michelle Williams, Ziv Zaifman",55082314
198,"Fuse ODG, Major Lazer, Nyla",55063944
199,"Anitta, Cardi B, Myke Towers",54802153
200,"2 Chainz, Saudi, ScHoolboy Q",54591275
201,"J Balvin, KAROL G, Nicky Jam",54166392
202,"Crissin, Natan & Shander, Totoy El Frio",52439375
203,"Anitta, Tyga, ZAAC",52421913
204,"Regard, Tate McRae, Troye Sivan",52076821
205,"Kanye West, Lil Uzi Vert, Travis Scott",52059877
206,"Oliver Heldens, Riton, Vula",51938790
207,"Capital Bra, LEA, Samra",51447111
208,"Ana Castela, Dj Chris No Beat, Melody",51392145
209,"Anuel AA, J Balvin, Jhayco",51328932
210,"Drake, Metro Boomin, Offset",51233073
211,"BTS, Desiigner, Steve Aoki",50962874
212,"21 Savage, Drake, Metro Boomin",50881969
213,"J Spooks, J. Davi$, Rob $tone",50604083
214,"Chris Brown, Ink, Justin Bieber",50203180
215,"Marcynho Sensação, Mc Danny, Paulo Pires",49986698
216,"Era Istrefi, Nicky Jam, Will Smith",49843582
217,"G-Eazy, Tory Lanez, Tyga",49208475
