Edge_Artist_1,Edge_Artist_2,Streams,Path,Path Length
Camila Cabello,Ed Sheeran,905922644,Camila Cabello → Travis Scott → Ed Sheeran,2
Internet Money,Don Toliver,904609454,Internet Money → NAV → Don Toliver,2
Bad Bunny,Grupo Frontera,902327561,Bad Bunny → KAROL G → Peso Pluma → Grupo Frontera,3
DaBaby,Lil Baby,900910270,DaBaby → Post Malone → Lil Baby,2
Gunna,Internet Money,899059064,Gunna → A Boogie Wit da Hoodie → Internet Money,2
Gunna,Don Toliver,899059064,Gunna → Future → Don Toliver,2
Ozuna,Selena Gomez,896064520,Ozuna → DJ Snake → Selena Gomez,2
Selena Gomez,Cardi B,896064520,Selena Gomez → Ozuna → Cardi B,2
DJ Snake,Cardi B,896064520,DJ Snake → Ozuna → Cardi B,2
Drake,Lil Baby,888550124,Drake → Future → Lil Baby,2
Cardi B,Megan Thee Stallion,874285792,Cardi B → Ozuna → Megan Thee Stallion,2
Swae Lee,French Montana,873661515,Swae Lee → Post Malone → French Montana,2
BTS,Coldplay,872919779,BTS → benny blanco → Selena Gomez → Coldplay,3
Peso Pluma,Yng Lvcas,872337549,,-1
NAV,Internet Money,872165018,NAV → A Boogie Wit da Hoodie → Internet Money,2
NAV,Don Toliver,872165018,NAV → Travis Scott → Don Toliver,2
Khalid,Ed Sheeran,871066452,Khalid → Future → Ed Sheeran,2
Peso Pluma,Natanael Cano,869011582,Peso Pluma → Fuerza Regida → Natanael Cano,2
Shakira,KAROL G,843720506,Shakira → Ozuna → KAROL G,2
Ozuna,Wisin,843592677,Ozuna → Bad Bunny → Wisin,2
Sech,Nicky Jam,838124875,Sech → Bad Bunny → Nicky Jam,2
J Balvin,Willy William,836675438,J Balvin → David Guetta → Willy William,2
Khalid,Marshmello,820499398,Khalid → Kane Brown → Marshmello,2
Jason Derulo,Jawsh 685,820476444,Jason Derulo → BTS → Jawsh 685,2
Feid,Sech,814197825,Feid → Bad Bunny → Sech,2
J Balvin,Tainy,813969175,J Balvin → Bad Bunny → Tainy,2
Dalex,Justin Quiles,801113134,Dalex → Feid → Justin Quiles,2
Jung Kook,BTS,799904677,Jung Kook → Charlie Puth → BTS,2
