ID,Artists,Streams
43,"DJ 900, Mc Davi, Mc Don Juan, Mc Pedrinho",75450656
44,"Fran C, Nickoog Clk, Pablito Pesadilla, Polimá Westcoast",73433900
45,"Lil Wayne, Metro Boomin, Offset, Swae Lee",69396212
46,"AFROJACK, Charli XCX, David Guetta, French Montana",64712155
47,"LIT killah, Maria Becerra, Nicki Nicole, Tiago PZK",61370276
48,"Drake, Gunna, Young Stoner Life, Young Thug",58981116
49,"Mike WiLL Made-It, NLE Choppa, Polo G, Stunna 4 Vegas",57980699
50,"Europa, Jax Jones, Madison Beer, Martin Solveig",55719059
51,"BANDIDO, Duki, Rei, Tiago PZK",55472583
52,"Davi Kneip, Dj Gabriel do Borel, Luísa Sonza, Mc Frog",55135520
53,"Bebe Rexha, Cardi B, Charli XCX, Rita Ora",52543183
54,"Cardi B, French Montana, Post Malone, Rvssian",51242212
55,"Calvin Harris, Halsey, Justin Timberlake, Pharrell Williams",48540121
56,"DJ Snake, LISA, Megan Thee Stallion, Ozuna",48468070
57,"Feid, Mora, Quevedo, SAIKO",46584326
58,"Anitta, J Balvin, Tropkillaz, ZAAC",46174772
59,"Chance the Rapper, G Herbo, Juice WRLD, Lil Uzi Vert",45657385
60,"ChocQuibTown, Farruko, Manuel Turizo, Zion & Lennox",45412178
61,"Anvita Dutt, B Praak, Jasleen Royal, Romy",44331111
62,"Death Stranding: Timefall, Diplo, Khalid, Major Lazer",42228837
63,"Game of Thrones, SZA, The Weeknd, Travis Scott",41860251
64,"The Creator, Ty Dolla $ign, Tyler, YoungBoy Never Broke Again",40440978
65,"24kGoldn, J Balvin, Justin Bieber, iann dior",38004584
66,"Almighty, Myke Towers, Noriel, Rauw Alejandro",36923252
67,"Ariana Grande, Calvin Harris, Pharrell Williams, Young Thug",35526991
68,"David Guetta, Dimitri Vegas, Dimitri Vegas & Like Mike, Kiiara",33655309
69,"Eminem, Mozzy, Polo G, Skylar Grey",30876809
70,"21 Savage, Pharrell Williams, The Creator, Tyler",30648956
71,"A Boogie Wit da Hoodie, Gunna, London On Da Track, Roddy Ricch",29799004
72,"FKA twigs, Kanye West, Skrillex, Ty Dolla $ign",29221189
73,"Diplo, Internet Money, Juice WRLD, Trippie Redd",29057817
74,"Diplo, French Montana, Lil Pump, Zhavia",28911784
75,"DJ Matt D, MC GP, Menor MC, Vulgo FK",28847840
76,"Don Toliver, Gunna, Internet Money, Lil Uzi Vert",26894046
77,"Captain Cuts, Felix Jaehn, Georgia Ku, NOTD",26699509
78,"DJ Patrick Muniz, Dj Olliver, Mc Rennan, Mc Topre",23571642
79,"Anitta, Lexa, Luísa Sonza, Rebecca",21103913
80,"DJ F7, JC NO BEAT, MC Meno Dani, Silva Mc",19220630
81,"A Boogie Wit da Hoodie, Chris Brown, Kodak Black, Yo Gotti",17576753
82,"Lil Uzi Vert, Pharrell Williams, The Creator, Tyler",17428086
83,"Beyoncé, DJ Khaled, Future, JAY-Z",17334496
84,"Bad Bunny, Cazzu, Duki, KHEA",16442779
85,"21 Savage, G Herbo, Lil Durk, Nardo Wick",15952423
86,"Billy Ray Cyrus, Lil Nas X, Mason Ramsey, Young Thug",15525284
87,"Arcángel, Bad Bunny, De La Ghetto, Ñengo Flow",15428944
88,"Huncho Jack, Offset, Quavo, Travis Scott",13265921
89,"Elley Duhé, FAST BOY, James Carter, MEDUZA",13244341
90,"Andrez Babii, Judah, Rio Santana, XXXTENTACION",12918082
91,"Pharrell Williams, SZA, The Neptunes, Ty Dolla $ign",12812403
92,"Beyoncé, Childish Gambino, JAY-Z, Oumou Sangaré",12651284
93,"Gunna, Lil Baby, Young Stoner Life, Young Thug",12584012
94,"Anne-Marie, Major Lazer, Mr Eazi, Rudimental",12428973
95,"DJ Gege, DJ Kaioken, DJ Nikolas Alves Exclusive, MC Levin",12012865
96,"Calvin Harris, DJ Khaled, Jeremih, Travis Scott",11550178
97,"Beyoncé, Blue Ivy, SAINt JHN, Wizkid",11457783
98,"DaBaby, Drake, Future, Lil Baby",11403590
99,"Dani Faiv, Fabri Fibra, MACHETE, thasup",10953128
100,"Rae Sremmurd, Slim Jxmmi, Swae Lee, Travis Scott",10472428
101,"Chris Jedi, Daddy Yankee, De La Ghetto, Ozuna",10385014
102,"Brent Faiyaz, Fana Hues, The Creator, Tyler",9142721
103,"21 Savage, Metro Boomin, Offset, Quavo",8051466
104,"Daddy Yankee, Feid, Sech, Tainy",8007740
105,"DJ Jeeh FDC, MC Menor MT, Mc Pelé, Yuri Redicopa",7797383
106,"DaBaby, Dreamville, J. Cole, Lute",7594957
107,"Gunna, Travis Scott, Young Stoner Life, Young Thug",7515766
108,"Frank Ocean, Steve Lacy, The Creator, Tyler",7186095
109,"Eminem, Joell Ortiz, KXNG Crooked, Royce Da 5'9""",7115414
110,"Dj Aurélio, Dj TG Beats, MC K.K, MC Lipivox",6713237
111,"21 Savage, Kodak Black, Metro Boomin, Travis Scott",6624824
112,"Big Sean, Migos, Travis Scott, Ty Dolla $ign",6513207
113,"A$AP Rocky, Kid Cudi, Moby, T.I.",6099486
114,"Huncho Jack, Quavo, Takeoff, Travis Scott",5542140
115,"Jamule, Luciano, Miksu / Macloud, Summer Cem",5415994
116,"Big Sean, Chris Brown, DJ Khaled, Lil Wayne",5381713
117,"Dua Lipa, Madonna, Missy Elliott, The Blessed Madonna",5254969
118,"Brent Faiyaz, Dahi, The Creator, Tyler",5136895
119,"DaBaby, Jack Harlow, Post Malone, Saweetie",5117128
120,"Gunna, Lil Baby, Lil Durk, NAV",5041350
121,"MACHETE, Marracash, Nitro, Salmo",4939508
122,"KSI, Lil Baby, Rick Ross, S-X",4777684
123,"Ky-Mani Marley, Stefflon Don, Vybz Kartel, XXXTENTACION",4599461
124,"Anitta, DJ Snake, Sean Paul, Tainy",4426272
125,"6ix9ine, CAPO, Farid Bang, SCH",4227364
126,"A-Trak, Calvin Harris, Funk Wav, Travis Scott",4213019
127,"21 Savage, A$AP Rocky, Gucci Mane, London On Da Track",3823251
128,"Calvin Harris, Funk Wav, Kehlani, Lil Yachty",3709561
129,"Anna of the North, Rex Orange County, The Creator, Tyler",3396784
130,"Ed Sheeran, Kranium, Major Lazer, Nyla",3223687
131,"2 Chainz, PnB Rock, Wiz Khalifa, Young Thug",3085640
