Artist ID,Artists,Streams
134,"Daddy Yankee, NATTI NATASHA, Becky G, Bad Bunny",7752843
135,"Rudimental, Jess Glynne, Macklemore, Dan Caplen",7550971
136,"Sia, Diplo, Labrinth, LSD",6077055
137,"YG, 2 Chainz, Big Sean, Nicki Minaj",5147978
138,"Rudimental, Major Lazer, Anne-Marie, Mr Eazi",4459041
139,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Juicy J",4423747
140,"Mesita, Nicki Nicole, Tiago PZK, Emilia",11835499
141,"Juice WRLD, Marshmello, The Kid LAROI, Polo G",19071066
142,"Jack Harlow, Tory Lanez, DaBaby, Lil Wayne",13874577
143,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",8583437
144,"Ty Dolla $ign, FKA twigs, Skrillex, Kanye West",6245036
145,"Imagine Dragons, JID, Arcane, League of Legends",8102101
146,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",7732206
147,"Tiësto, Dzeko, Preme, Post Malone",15459179
148,"Rudimental, Jess Glynne, Macklemore, Dan Caplen",9992805
149,"Daddy Yankee, NATTI NATASHA, Becky G, Bad Bunny",8568825
150,"Rita Ora, Charli XCX, Cardi B, Bebe Rexha",6550559
151,"Sia, Diplo, Labrinth, LSD",6460419
152,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Juicy J",5781588
153,"Diplo, French Montana, Lil Pump, Zhavia",4441748
154,"Jay Rock, Kendrick Lamar, Future, James Blake",4272342
155,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",8668382
156,"Lorde, Khalid, Post Malone, SZA",7222885
157,"Chris Jedi, J Balvin, Ozuna, Arcángel",6309059
158,"Major Lazer, Travis Scott, Camila Cabello, Quavo",5235541
159,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",4277732
160,"Dimitri Vegas & Like Mike, David Guetta, Dimitri Vegas, Kiiara",3352674
161,"Imagine Dragons, JID, Arcane, League of Legends",8872816
162,"J Balvin, Pharrell Williams, BIA, Sky Rompiendo",5569636
163,"IAmChino, Pitbull, Yandel, El Chacal",4552630
164,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",8892748
165,"Imagine Dragons, JID, Arcane, League of Legends",16119886
166,"DJ Snake, Selena Gomez, Ozuna, Cardi B",35130395
167,"XXXTENTACION, Lil Pump, Swae Lee, Maluma",20648779
168,"Silk City, Dua Lipa, Diplo, Mark Ronson",7759726
169,"Sia, Diplo, Labrinth, LSD",6338614
170,"Tiësto, Dzeko, Preme, Post Malone",5809774
171,"Jason Derulo, David Guetta, Nicki Minaj, Willy William",5808910
172,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper",4875437
173,"Rudimental, Jess Glynne, Macklemore, Dan Caplen",4331374
174,"J Balvin, Dua Lipa, Bad Bunny, Tainy",16962639
175,"Jack Harlow, Tory Lanez, DaBaby, Lil Wayne",13071778
176,"Internet Money, Gunna, Don Toliver, NAV",11373347
177,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",6733114
178,"Juice WRLD, Marshmello, The Kid LAROI, Polo G",6011663
179,"Imagine Dragons, JID, Arcane, League of Legends",9522204
180,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",12033466
181,"Lorde, Khalid, Post Malone, SZA",7585890
182,"21 Savage, Offset, Metro Boomin, Travis Scott",5872556
183,"Chris Jedi, J Balvin, Ozuna, Arcángel",5415065
184,"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander",5037367
185,"Chris Brown, Yo Gotti, A Boogie Wit da Hoodie, Kodak Black",3522917
186,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",3503222
187,"Major Lazer, Travis Scott, Camila Cabello, Quavo",3420592
188,"21 Savage, Offset, Metro Boomin, Quavo",3365677
189,"J Balvin, Pharrell Williams, BIA, Sky Rompiendo",6192431
190,"IAmChino, Pitbull, Yandel, El Chacal",5182271
191,"Ed Sheeran, Nyla, Kranium, Major Lazer",3223687
192,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",12475457
