country,currentRank,previousRank,peakRank,peakDate,appearancesOnChart,consecutiveAppearancesOnChart,rankingMetricValue,rankingMetricType,entryStatus,entryRank,entryDate,trackName,trackUri,displayImageUri,artistName,artistSpotifyUri,releaseDate
GLOBAL,29,28,16,2023-10-26,22,22,17194036,STREAMS,MOVED_DOWN,34,2023-09-07,Que Onda,spotify:track:6uIIdjYTxxpWOyWuVXrKQO,https://i.scdn.co/image/ab67616d00001e02c8fd4190e32eed2dfcd00f66,"Calle 24, Chino Pacas, Fuerza Regida","spotify:artist:6dLuQ5qXxIuWc5urxfIiZR, spotify:artist:2rmkQLzj0k4nZdQehOUByO, spotify:artist:0ys2OFYzWYB5hRDLCsBqxt",2023-08-30
GLOBAL,33,42,20,2023-09-07,23,23,16261813,STREAMS,MOVED_UP,21,2023-08-31,I Remember Everything (feat. Kacey Musgraves),spotify:track:4KULAymBBJcPRpk1yO4dOG,https://i.scdn.co/image/ab67616d00001e02e5a25ed08d1e7e0fbb440cef,"Zach Bryan, Kacey Musgraves","spotify:artist:40ZNYROS4zLfyyBSs2PGe2, spotify:artist:70kkdajctXSbqSMJbQO424",2023-08-25
GLOBAL,41,58,41,2024-02-01,3,3,15456056,STREAMS,MOVED_UP,140,2024-01-18,FIRST LOVE,spotify:track:3QQAeMQbbjZXVFbF8DgFWT,https://i.scdn.co/image/ab67616d00001e02e47439187384e475312992b9,"Oscar Ortiz, Edgardo Nuñez","spotify:artist:0FvHxb8a4I0A2i8jKCsFei, spotify:artist:0mA4dkNGiN4fqTBi2SLlAv",2023-12-07
GLOBAL,42,40,28,2023-10-12,16,8,15376287,STREAMS,MOVED_DOWN,28,2023-10-12,Rich Baby Daddy (feat. Sexyy Red & SZA),spotify:track:1yeB8MUNeLo9Ek1UEpsyz6,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1,"Drake, Sexyy Red, SZA","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:3DbwFQlvLxRSi2uX8mf81A, spotify:artist:7tYKF4w9nC0nq9CsPZTHyP",2023-10-06
GLOBAL,44,39,11,2023-11-23,14,14,15298643,STREAMS,MOVED_DOWN,43,2023-11-02,HARLEY QUINN,spotify:track:6CvTEtGagmzQvkUzzyKR9k,https://i.scdn.co/image/ab67616d00001e02ad57982065339f7dc2058efe,"Fuerza Regida, Marshmello","spotify:artist:0ys2OFYzWYB5hRDLCsBqxt, spotify:artist:64KEffDW9EtZ1y2vBYgq8T",2023-10-20
GLOBAL,45,38,34,2024-01-11,11,11,15245184,STREAMS,MOVED_DOWN,94,2023-11-23,Surround Sound (feat. 21 Savage & Baby Tate),spotify:track:1udwFobQ1JoOdWPQrp2b6u,https://i.scdn.co/image/ab67616d00001e02cae6e44dcc84e2035c3ad092,"JID, 21 Savage, Baby Tate","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7, spotify:artist:1URnnhqYAYcrqrcwql10ft, spotify:artist:3IJ21966TwNZI24MwZHMu4",2022-10-31
GLOBAL,46,44,17,2023-09-28,24,24,15209851,STREAMS,MOVED_DOWN,107,2023-08-24,Prada,spotify:track:59NraMJsLaMCVtwXTSia8i,https://i.scdn.co/image/ab67616d00001e02e4b7dccdfd54375ded9ccc5c,"cassö, RAYE, D-Block Europe","spotify:artist:5wCmhq5J2hPwL2r0eKurxn, spotify:artist:5KKpBU5eC2tJDzf0wmlRp2, spotify:artist:5VadK1havLhK1OpKYsXv9y",2023-08-11
GLOBAL,51,47,17,2023-10-26,20,20,13616997,STREAMS,MOVED_DOWN,66,2023-09-21,Según Quién,spotify:track:4bw8mcDUSRWfQo63ZTYRnU,https://i.scdn.co/image/ab67616d00001e02d688b951a19f48941682e026,"Maluma, Carin Leon","spotify:artist:1r4hJ1h58CWwUQe3MxPuau, spotify:artist:66ihevNkSYNzRAl44dx6jJ",2023-08-25
GLOBAL,58,63,58,2024-02-01,3,3,13232332,STREAMS,MOVED_UP,93,2024-01-18,Una Foto Remix (feat. Emilia),spotify:track:1kqH58eGh2ZTOHwqBIB2tM,https://i.scdn.co/image/ab67616d00001e02d7e3250bc4b38c29a68a8af9,"Mesita, Nicki Nicole, Tiago PZK, Emilia","spotify:artist:2IKdK6PbitvCiXt1t2bPU6, spotify:artist:2UZIAOlrnyZmyzt1nuXr9y, spotify:artist:5Y3MV9DZ0d87NnVm56qSY1, spotify:artist:0AqlFI0tz2DsEoJlKSIiT9",2024-01-05
GLOBAL,59,54,47,2024-01-04,26,26,13109276,STREAMS,MOVED_DOWN,73,2023-08-10,EL AMOR DE SU VIDA,spotify:track:0O3U5iwTbiXCREMkvotJuN,https://i.scdn.co/image/ab67616d00001e0282ce4c7bbf861185252e82ae,"Grupo Frontera, Grupo Firme","spotify:artist:6XkjpgcEsYab502Vr1bBeW, spotify:artist:1dKdetem2xEmjgvyymzytS",2023-08-25
